                        Natural Gas Pipeline Projects,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,Project Name,Pipeline Operator Name,Project Type,Status,Completed Date,Year In Service Date,State(s),Beg_State,End_State,Region(s),Beg_Region,End_Region,Thru_Region, Cost (millions) , Miles ,Additional Capacity (MMcf/d),Pipeline Diameter (Inches),Pipeline Type,Authority,Docket Number,Crosses State Border,Project Notes,Demand Served,Website
6/26/2009,Eastern North Carolina Sys,Eastern North Carolina PL Co,New Pipeline,Completed,8/1/2002,2002,NC,NC,NC,Southeast,Southeast,Southeast,,  12 ,  72 ,  72 ,"6,12",Intrastate,State,na,,,,
6/26/2009,Eastern Shore 2000 Expansion,Eastern Shore Natural Gas,Expansion,Completed,11/1/2000,2000,"PA,MD,DE",PA,DE,Northeast,Northeast,Northeast,,  3 ,  4 ,  7 ,16,Interstate,FERC,CP00-45,,,,
6/26/2009,Eastern Shore 2001 Expansion,Eastern Shore Natural Gas,Expansion,Completed,11/15/2001,2001,"DE,MD",DE,MD,Northeast,Northeast,Northeast,,  12 ,  6 ,  19 ,16,Interstate,FERC,CP01-65,,,,
6/26/2009,Eastern Shore 2002 Expansion,Eastern Shore Natural Gas,Expansion,Completed,12/15/2002,2002,"PA,MD,DE",PA,DE,Northeast,Northeast,Northeast,,  3 ,  3 ,  5 ,16,Interstate,FERC,CP02-76,,,,
6/26/2009,Eastern Shore 2003-5 Expansion Phase 1,Eastern Shore Natural Gas,Expansion,Completed,11/1/2003,2003,"PA,MD,DE",PA,DE,Northeast,Northeast,Northeast,,  1 ,,  4 ,16,Interstate,FERC,CP03-80,,,,
6/26/2009,Eastern Shore 2003-5 Expansion Phase 2,Eastern Shore Natural Gas,Expansion,Completed,12/14/2004,2004,"PA,MD,DE",PA,DE,Northeast,Northeast,Northeast,,  3 ,  3 ,  5 ,16,Interstate,FERC,CP03-80,,,,
6/26/2009,Eastern Shore 2003-5 Expansion Phase 3,Eastern Shore Natural Gas,Expansion,Completed,11/30/2005,2005,"PA,MD,DE",PA,DE,Northeast,Northeast,Northeast,,  14 ,  24 ,9.9,16,Interstate,FERC,CP03-80,,,,
6/26/2009,Eastern Shore 2006 Expansion,Eastern Shore Natural Gas,Expansion,Completed,11/1/2006,2006,"PA,MD,DE",PA,DE,Northeast,Northeast,Northeast,,  17 ,  35 ,26.2,"6,10,16",Interstate,FERC,CP06-53,,,,
6/26/2009,Eastern Shore 2007 Expansion,Eastern Shore Natural Gas,Expansion,Completed,12/15/2007,2007,"PA,MD,DE",PA,DE,Northeast,Northeast,Northeast,,  8 ,11,10.3," 10,16 ", Interstate ,FERC,CP06-53,,,,
6/26/2009,Eastern Shore 2008 Expansion,Eastern Shore Natural Gas,Expansion,Completed,11/15/2008,2008,"PA,MD,DE",PA,DE,Northeast,Northeast,Northeast,,  8 ,  9 ,  11 ,16,Interstate,FERC,CP06-53,,,,
10/18/2019,Eastern Shore 2017 Expansion,Eastern Shore Natural Gas,Expansion,Completed,10/10/2019,2019,"PA,MD,DE",PA,DE,Northeast,Northeast,Northeast,,  99 ,40.00,61,"10,16,24",Interstate,FERC,CP17-28,Yes,Project expands capacity into Delaware; Staggered completion dates; full service not expected until March 2019,,
6/26/2009,Eastern Shore Bridgeville Expansion,Eastern Shore Natural Gas,Expansion,Completed,3/15/1997,1997,"DE,MD",DE,MD,Northeast,Northeast,Northeast,,  7 ,  29 ,  5 ,8,Interstate,FERC,CP96-97,,,,
6/26/2009,Eastern Shore System Expansion,Eastern Shore Natural Gas,Expansion,Completed,11/25/1998,1998,"DE,MD",DE,MD,Northeast,Northeast,Northeast,,  1 ,  1 ,  3 ,16,Interstate,FERC,CP98-214,,,,
8/14/2019,Eastern System Upgrade Project,Millennium Pipeline,Expansion,Completed,3/19/2019,2019,NY,NY,NY,Northeast,Northeast,Northeast,,  275 ,8.00,223,"30,36",interstate,FERC,CP16-486,No,,,http://www.millenniumpipeline.com/eastern-system-upgrade/ 
1/29/2019,East-West Project,Florida Gas Trans Co,Lateral,Completed,1/22/2019,2019,"LA,TX",LA,TX,South Central,South Central,South Central,,  69 ,24.70,275,,Interstate,FERC,CP17-8,Yes,,,
8/30/2016,Edgemoor Compressor Station,Dominion Carolina Gas Transmission,Expansion,Completed,12/1/2015,2015,SC,SC,SC,Southeast,Southeast,Southeast,,  35 ,,45,, Interstate ,FERC,CP14-97,No,,,
6/20/2015,Edinburg Lateral,Houston Pipe Line,Expansion,Completed,6/8/2015,2015,"TX,MX",TX,MX,"South Central, Mexico",South Central,Mexico,,,23,140,  24 , Interstate ,FERC,CP14-13,Yes,,,
11/19/2018,EEC Modification Project,Elba Express Co,Expansion,Completed,11/14/2018,2018,GA,GA,GA,Southeast,Southeast,Southeast,,  114 ,,  769 ,,Interstate,FERC,CP14-115,No,Elba Island LNG supply,,
10/6/2016,EEC Modification Project,Elba Express Co,Expansion,Construction,,2016,GA,GA,GA,Southeast,Southeast,Southeast,,  114 ,,  769 ,,Interstate,FERC,CP14-115,,,,
7/21/2010,Egan Storage Header Exp,Spectra Energy,Lateral,Completed,9/1/2010,2010,LA,LA,LA,South Central,South Central,South Central,,  25 ,  17 ,  200 ,24,Interstate,FERC,CP07-88,,,,
6/26/2009,El Paso Bondad 04 Expansion Proj,El Paso Natural Gas,Expansion,Completed,4/1/2004,2004,"CO,NM",CO,NM,Mountain,Mountain,Mountain,,  7 ,,  140 ,,Interstate,FERC,CP03-57,,,,
6/26/2009,El Paso Copper Mine/Douglas Export,El Paso Natural Gas,Expansion,Completed,6/1/1999,1999,"AZ,MX",AZ,MX,"Mountain, Mexico",Mountain,Mexico,,  1 ,  1 ,  78 ,16,Interstate,FERC,CP98-357/359,,,,
6/26/2009,El Paso Ductos De Nogales Project,El Paso Natural Gas,Lateral,Completed,2/26/2002,2002,"AZ,MX",AZ,MX,"Mountain, Mexico",Mountain,Mexico,,  0 ,  1 ,  9 ,"6,16",Interstate,FERC,CP01-41,,,,
7/8/2010,El Paso Eunice Replacement Project,El Paso Natural Gas,Expansion,Completed,12/31/2008,2008,NM,NM,NM,Mountain,Mountain,Mountain,,  27 ,,  12 ,,Interstate,FERC,CP08-2,,,,
6/26/2009,El Paso Havasu Crossover,El Paso Natural Gas,Expansion,Completed,3/30/1997,1997,AZ,AZ,AZ,Mountain,Mountain,Mountain,,  20 ,,  180 ,30,Interstate,FERC,CP96-321,,,,
6/26/2009,El Paso Hobbs Lateral,El Paso Natural Gas,Lateral,Completed,11/26/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  17 ,7.3,150,  20 , Interstate ,FERC,CP08-14,,,,
6/26/2009,El Paso Line 1903 Conversion,El Paso Natural Gas,Conversion,Completed,12/30/2005,2005,"AZ,CA",AZ,CA,"Mountain, Pacific",Mountain,Pacific,,  78 ,  94 ,502,30,Interstate,FERC,CP05-02,,,,
6/26/2009,El Paso Line 2000 Project,El Paso Natural Gas,Conversion,Completed,12/20/2002,2002,"TX,NM,AZ,CA",TX,CA,"South Central, Mountain, Pacific",South Central,Pacific,Mountain,  204 ,"  1,088 ",  230 ,30,Interstate,FERC,CP00-422,,,,
6/26/2009,El Paso Picacho Compressor Station Project,El Paso Natural Gas,Expansion,Completed,12/1/2008,2008,AZ,AZ,AZ,Mountain,Mountain,Mountain,,  24 ,,30,, Interstate ,FERC,CP07-448,,,,
6/26/2009,El Paso Pinnacle West Lateral,El Paso Natural Gas,Lateral,Completed,7/1/2002,2002,AZ,AZ,AZ,Mountain,Mountain,Mountain,,  6 ,  6 ,  620 ,"20,24,26",Interstate,FERC,CP01-90,,,,
6/26/2009,El Paso Power-Up Expansion I&II,El Paso Natural Gas,Expansion,Completed,5/1/2004,2004,"TX,NM,AZ,CA",TX,CA,"South Central, Mountain, Pacific",South Central,Pacific,Mountain,  110 ,,  220 ,30,Interstate,FERC,CP03-01,,,,
6/26/2009,El Paso Power-Up Expansion III,El Paso Natural Gas,Expansion,Completed,5/1/2004,2004,"TX,NM,AZ,CA",TX,CA,"South Central, Mountain, Pacific",South Central,Pacific,Mountain,  63 ,,  100 ,30,Interstate,FERC,CP03-01,,,,
6/26/2009,El Paso Samalayuca Expansion,El Paso Natural Gas,Expansion,Completed,6/1/2002,2002,"TX,MX",TX,MX,"South Central, Mexico",South Central,Mexico,,,,  100 ,24,Interstate,FERC,CP93-253-004,,,,
6/26/2009,El Paso Samalayuca II,El Paso Natural Gas,Lateral,Completed,12/20/1997,1997,"TX,MX",TX,MX,"South Central, Mexico",South Central,Mexico,,  35 ,  45 ,  212 ,24,Interstate,FERC,CP93-252,,,,
6/26/2009,El Paso Willcox Lateral,El Paso Natural Gas,Expansion,Completed,9/1/2001,2001,"AZ,MX",AZ,MX,"Mountain, Mexico",Mountain,Mexico,,  30 ,  68 ,  130 ,"16,20",Interstate,FERC,CP99-322/323,,,,
8/15/2016,Ellisburg to Craigs Project,Dominion Transmission,Abandonment,Completed,10/30/2012,2012,"PA,NY",PA,NY,Northeast,Northeast,Northeast,,  46 ,  7 ,  (150),,Interstate,FERC,CP11-41,,,,
12/28/2023,Elwood Power/ANR Horsepower Replacement Project,TC Energy ,Upgrade,Completed,11/1/2022,2022,IL,IL,IL,Midwest,Midwest,Midwest,,  400 ,,125,,Intrastate,,,No,"Upgrade highly used portion of the ANR system to bring supply to an existing power plant in Joliet, Illinois",Electric,TC Energy 2022 Annual information form
6/26/2020,Empire North Expansion Project,Empire Pipeline,Expansion,Completed,6/26/2020,2020,"PA,NY,ON",PA,ON,"Northeast, Canada",Northeast,Canada,,  141 ,  25 ,300,26,Interstate,FERC,CP18-89,Yes,,,https://www.natfuel.com/pipelineandstorage/empire/empirenorth2017/Jackson_Public_Info_Session_Presentation.pdf 
6/26/2009,Empire/Millennium Expansion,Empire Pipeline,Expansion,Completed,12/15/2008,2008,NY,NY,NY,Northeast,Northeast,Northeast,,  187 ,78,250,  24 , Interstate ,FERC,CP06-5/6/7,,,,
6/26/2009,Enbridge East Texas Pipeline,Enbridge Energy Pipeline Co,New Pipeline,Completed,5/6/2005,2005,TX,TX,TX,South Central,South Central,South Central,,  130 ,  107 ,  500 ,36,Intrastate,State,na,,,,
6/26/2009,Enbridge East Texas System Extension,Enbridge Energy Pipeline Co,Expansion,Completed,4/15/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  465 ,190,700,  36 , Intrastate ,State,na,,,,
4/22/2011,Enbridge Marquez Plant Line,Enterprise Products Partners,Expansion,Completed,9/20/2010,2010,TX,TX,TX,South Central,South Central,South Central,,,  69 ,,"16,36",Intrastate,State,na,,,,
6/26/2009,Enbridge Marquez Plant Line,Enbridge Energy Pipeline Co,Lateral,Completed,3/31/2007,2007,TX,TX,TX,South Central,South Central,South Central,,  65 ,56,250,  24 , Intrastate ,State,na,,,,
6/26/2009,Energy Bridge Connection Line,Excelerate Energy LLC,Expansion,Completed,3/21/2005,2005,GM,GM,GM,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico,,  5 ,  8 ,  690 ,20,Interstate,MMS,na,,,,
7/8/2010,Enterprise Sherman Extension,Enterprise Products Partners,New Pipeline,Completed,3/23/2009,2009,TX,TX,TX,South Central,South Central,South Central,,  522 ,  174 ,  950 ,"30,36",Intrastate,State,na,,,,
7/30/2010,Enterprise Trinity River Supply Lateral,Enterprise Products Partners,Lateral,Completed,7/28/2010,2010,TX,TX,TX,South Central,South Central,South Central,,  55 ,  40 ,"  1,000 ","30,36",Intrastate,State,na,,,,
6/30/2010,Enterprise Wilson Storage Link,Wilson Gas Storage Facility,New Pipeline,Completed,6/29/2010,2010,TX,TX,TX,South Central,South Central,South Central,,,62,600,  30 , Intrastate ,State,na,,,,
10/18/2019,EQT H-320 Pipeline Project,Equitrans,Lateral,Cancelled,,,WV,WV,WV,Northeast,Northeast,Northeast,,  20 ,5.00,85,12,Intrastate,FERC,CP18-489,No,FERC denied extension of time in July 2019 as no construction had started; was supposed to supply proposed 580 MW gas fired power plant,Electric,
10/18/2019,Equitrans Expansion Project,Equitrans,Expansion,Completed,7/30/2019,2019,"PA,WV",PA,WV,Northeast,Northeast,Northeast,,,7.87,600,"6,12,16,20,24",Interstate,FERC,CP16-13,Yes,Takeaway capacity out of PA to WV; in conjunction with Mountain Valley,,http://equitransproject.com/ 
5/10/2010,Eshore Parkesburg Expansion,Eastern Shore Parkesburg Line,Expansion,Completed,10/16/2010,2010,PA,PA,PA,Northeast,Northeast,Northeast,,  19 ,  8 ,  40 ,16,Interstate,FERC,CP10-76,,,,
6/26/2009,ET Barnett-Texoma Expansion Phase 1,Energy Transfer Co,New Pipeline,Completed,9/1/2006,2006,TX,TX,TX,South Central,South Central,South Central,,  110 ,  97 ,  600 ,42,Intrastate,State,na,,,,
6/26/2009,ET Barnett-Texoma Expansion Phase 2,Energy Transfer Co,Expansion,Completed,12/1/2006,2006,TX,TX,TX,South Central,South Central,South Central,,  65 ,32,500,  42 , Intrastate ,State,na,,,,
6/26/2009,ET Barnett-Texoma Expansion Phase 3,Energy Transfer Co,Expansion,Completed,4/1/2007,2007,TX,TX,TX,South Central,South Central,South Central,,  360 ,  135 ,  700 ,42,Intrastate,State,na,,,,
6/26/2009,ET Carthage Loop Expansion,Energy Transfer Co,Expansion,Completed,9/10/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  94 ,  32 ,  500 ,42,Intrastate,State,na,,,,
7/8/2010,ET Cleburne to Tolar Extension,Energy Transfer Co,Expansion,Completed,1/15/2009,2009,TX,TX,TX,South Central,South Central,South Central,,  45 ,20,400,  30 , Intrastate ,State,na,,,,
6/26/2009,ET Forth Worth Basin Looping,Energy Transfer Co,Expansion,Completed,5/1/2006,2006,TX,TX,TX,South Central,South Central,South Central,,  32 ,  24 ,  400 ,24,Intrastate,State,na,,,,
6/26/2009,ET Forth Worth Basin Pipeline,Energy Transfer Co,New Pipeline,Completed,6/1/2005,2005,TX,TX,TX,South Central,South Central,South Central,,  53 ,54,650,  24 , Intrastate ,State,na,,,,
6/26/2009,ET Kathy Bossier Pipeline,Energy Transfer Co,New Pipeline,Completed,7/21/2004,2004,TX,TX,TX,South Central,South Central,South Central,,  40 ,  78 ,  500 ,36,Intrastate,State,na,,,,
7/8/2010,ET Katy Pipeline Expansion,Energy Transfer Co,Expansion,Completed,2/6/2009,2009,TX,TX,TX,South Central,South Central,South Central,,  165 ,  56 ,  400 ,36,Intrastate,State,na,,,,
6/26/2009,ET Maypearl to Malone,Energy Transfer Co,New Pipeline,Completed,8/1/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  50 ,25,600,  36 , Intrastate ,State,na,,,,
6/26/2009,ET Mayprearl to Mansfield Line,Energy Transfer Co,New Pipeline,Completed,12/15/2006,2006,TX,TX,TX,South Central,South Central,South Central,,  48 ,  24 ,  400 ,24,Intrastate,State,na,,,,
6/26/2009,ET North side to Paris Loop,Energy Transfer Co,New Pipeline,Completed,8/1/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  260 ,145,350," 30,36 ", Intrastate ,State,na,,,,
6/26/2009,ET Southeast Boosier Pipeline Phase 1,Energy Transfer Co,New Pipeline,Completed,4/28/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  360 ,165,900," 24,42 ", Intrastate ,State,na,,,,
6/26/2009,ET Southeast Boosier Pipeline Phase 2,Energy Transfer Co,Expansion,Completed,11/1/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  70 ,,400,  24 , Intrastate ,State,na,,,,
7/8/2010,ET Southern Shale,Energy Transfer Co,New Pipeline,Completed,1/15/2009,2009,TX,TX,TX,South Central,South Central,South Central,,  70 ,  31 ,  700 ,36,Intrastate,State,na,,,,
7/8/2010,ET Texas Independence Pipeline,Energy Transfer Partners LP,New Pipeline,Completed,8/31/2009,2009,TX,TX,TX,South Central,South Central,South Central,,  485 ,  160 ,"  1,100 ",42,Intrastate,State,na,,,,
6/21/2010,ETC Tiger Pipeline (Louisiana) Expansion,"ETC Tiger Pipeline, LLC",Expansion,Completed,7/19/2011,2011,LA,LA,LA,South Central,South Central,South Central,,  193 ,  21 ,  400 ,42,Interstate,FERC,CP10-459,,,,
6/21/2010,ETC Tiger Pipeline Project,"ETC Tiger Pipeline, LLC",New Pipeline,Completed,12/1/2010,2010,"TX,LA",TX,LA,South Central,South Central,South Central,,"  1,200 ",  175 ,"  2,000 ",42,Interstate,FERC,CP09-460,,,,
6/26/2009,ETenn CNX Pressure Increase,East Tennessee Nat Gas Co,Expansion,Completed,9/1/2008,2008,"VA,NC",VA,NC,"Northeast, Southeast",Northeast,Southeast,,  5 ,,90,,Interstate,FERC,CP08-35,,,,
6/26/2009,ETenn Gateway Project,East Tennessee Nat Gas Co,Expansion,Completed,10/30/2001,2001,VA,VA,VA,Northeast,Northeast,Northeast,,  2 ,,  4 ,12,Interstate,FERC,CP01-92,,,,
6/26/2009,ETenn Jewell Ridge Lateral,East Tennessee Nat Gas Co,Lateral,Completed,11/1/2006,2006,VA,VA,VA,Northeast,Northeast,Northeast,,  53 ,32,235,  20 , Interstate ,FERC,CP05-413,,,,
6/26/2009,ETenn Murray Project,East Tennessee Nat Gas Co,Expansion,Completed,9/1/2002,2002,"TN,GA",TN,GA,"Midwest, Southeast",Midwest,Southeast,,  69 ,  27 ,  160 ,20,Interstate,FERC,CP01-80,,,,
8/31/2009,ETenn Patriot Extension I,East Tennessee Nat Gas Co,Expansion,Completed,11/19/2003,2003,"VA,NC",VA,NC,"Northeast, Southeast",Northeast,Southeast,,  225 ,  95 ,  315 ,"20,24",Interstate,FERC,CP01-415,,,,
6/26/2009,ETenn Patriot Extension III,East Tennessee Nat Gas Co,Lateral,Completed,10/15/2008,2008,"VA,NC",VA,NC,"Northeast, Southeast",Northeast,Southeast,,  20 ,,  75 ,"20,24",Interstate,FERC,CP01-415,,,,
6/26/2009,ETenn Piedmont Project,East Tennessee Nat Gas Co,Expansion,Completed,12/1/2006,2006,"TN,VA,NC",TN,NC,"Midwest, Northeast, Southeast",Midwest,Southeast,Northeast,  16 ,13,20,  24 , Interstate ,FERC,CP01-415,,,,
6/26/2009,ETenn Roanoke Expansion,East Tennessee Nat Gas Co,New Pipeline,Completed,7/1/1998,1998,VA,VA,VA,Northeast,Northeast,Northeast,,  14 ,  60 ,  10 ,20,Interstate,FERC,CP98-40,,,,
6/26/2009,ETenn Rocky Top Expansion,East Tennessee Nat Gas Co,Expansion,Completed,10/30/2001,2001,VA,VA,VA,Northeast,Northeast,Northeast,,  21 ,  41 ,  35 ,12,Interstate,FERC,CP00-51,,,,
6/26/2009,ETenn Virginia Expansion,East Tennessee Nat Gas Co,Expansion,Completed,11/1/1997,1997,"TN,VA",TN,VA,"Midwest, Northeast",Midwest,Northeast,,  5 ,  6 ,  24 ,"12,30",Interstate,FERC,CP96-696,,,,
1/3/2019,Fairburn Expansion Project,Southern Natural Gas Co,Expansion,Completed,12/12/2018,2018,GA,GA,GA,Southeast,Southeast,Southeast,,  240 ,19.7,344,  30 , Interstate ,FERC,CP17-46,No,,,
6/26/2009,Falcon Worsham-Steed Storage Pipeline,NorTex Gas Storage LLC,New Pipeline,Completed,10/1/2007,2007,TX,TX,TX,South Central,South Central,South Central,,  60 ,63,450,  24 , Intrastate ,State,na,,,,
2/15/2011,Fayetteville Express Pipeline,Fayetteville Express Pipeline,New Pipeline,Completed,12/3/2010,2010,"AR,MS",AR,MS,South Central,South Central,South Central,,"  1,010 ",  185 ,"  2,000 ",42,Interstate,FERC,CP09-433,,,,
6/26/2009,FGT AE Cooperative Upgrade,Florida Gas Trans Co,Expansion,Completed,11/8/2001,2001,"MS,AL",MS,AL,South Central,South Central,South Central,,  7 ,  0 ,  80 ,"30,36",Interstate,FERC,CP00-40,,,,
6/26/2009,FGT Alabama Power Lateral,Florida Gas Trans Co,Lateral,Completed,12/1/1998,1998,AL,AL,AL,South Central,South Central,South Central,,  1 ,  1 ,62,12,Interstate,FERC,CP98-249,,,,
6/26/2009,FGT East Leg Expansion,Florida Gas Trans Co,Lateral,Completed,7/1/2008,2008,FL,FL,FL,Southeast,Southeast,Southeast,,  16 ,  7 ,10,30,Interstate,FERC,CP07-82,,,,
6/26/2009,FGT Interconnect,Dominion South Pipeline Co,Expansion,Completed,12/16/2005,2005,TX,TX,TX,South Central,South Central,South Central,,  2 ,0.01,200,  12 , Interstate ,FERC,CP05-76,,,,
9/28/2011,FGT Mobile Bay Lateral Expansion,Florida Gas Trans Co,Lateral,Completed,9/22/2011,2011,AL,AL,AL,South Central,South Central,South Central,,  34 ,8.9,343,  24 , Interstate ,FERC,CP09-455,,,,
6/26/2009,FGT Phase IV Project,Florida Gas Trans Co,Expansion,Completed,5/1/2001,2001,"AL,FL",AL,FL,"South Central, Southeast",South Central,Southeast,,  262 ,  139 ,  200 ,"30,36",Interstate,FERC,CP99-94,,,,
6/26/2009,FGT Phase V Stage 3,Florida Gas Trans Co,Lateral,Completed,12/1/2002,2002,FL,FL,FL,Southeast,Southeast,Southeast,,  13 ,  15 ,  180 ,24,Interstate,FERC,CP00-40,,,,
6/26/2009,FGT Phase V Stage 4,Florida Gas Trans Co,Expansion,Completed,5/1/2003,2003,"MS,AL,FL",MS,FL,"South Central, Southeast",South Central,Southeast,,  132 ,  136 ,  130 ,"16,24,36",Interstate,FERC,CP00-40,,,,
6/26/2009,FGT Phase V Stages 1-2,Florida Gas Trans Co,Expansion,Completed,4/1/2002,2002,"MS,AL,FL",MS,FL,"South Central, Southeast",South Central,Southeast,,  320 ,  64 ,  298 ,"16,24,36",Interstate,FERC,CP00-40,,,,
6/26/2009,FGT Phase VI Project,Florida Gas Trans Co,Expansion,Completed,12/1/2003,2003,"AL,FL",AL,FL,"South Central, Southeast",South Central,Southeast,,  105 ,  33 ,  121 ,36,Interstate,FERC,CP02-27,,,,
6/26/2009,FGT Phase VII Phase 1,Florida Gas Trans Co,Lateral,Completed,12/22/2007,2007,FL,FL,FL,Southeast,Southeast,Southeast,,  64 ,17.3,95,  36 , Interstate ,FERC,CP06-01,,,,
2/11/2011,FGT Phase VIII Expansion,Florida Gas Trans Co,Expansion,Completed,2/14/2011,2011,"AL,FL",AL,FL,"South Central, Southeast",South Central,Southeast,,"  2,455 ",483,820," 24,30,36,42 ", Interstate ,FERC,CP09-17,,,,
6/26/2009,FGT Turkey Point Lateral,Florida Gas Trans Co,Lateral,Completed,12/1/2006,2006,FL,FL,FL,Southeast,Southeast,Southeast,,  20 ,0.3,100,  24 , Interstate ,FERC,CP05-64,,,,
11/19/2018,FGT Western Division Project,Florida Gas Trans Co,Expansion,Completed,10/25/2018,2018,"MS,AL",MS,AL,South Central,South Central,South Central,,  11 ,  1 ,  69 ,"8,36",Interstate,FERC,CP17-23,Yes,,,
7/8/2010,Fitchburg Expansion Project,Tennessee Gas Pipeline Co,Expansion,Completed,8/28/2009,2009,MA,MA,MA,Northeast,Northeast,Northeast,,  23 ,5.15,12.3,  12 , Interstate ,FERC,CP08-63,,,,
6/14/2017,Florida Southeast Connection,NextEra Energy,New Pipeline,Completed,6/12/2017,2017,FL,FL,FL,Southeast,Southeast,Southeast,,  537 ,  126 ,  640 ,36,interstate,FERC,CP14-554,No,,,
1/14/2022,FM 100 Project,National Fuel Gas Supply Corp,Expansion,Completed,12/1/2021,2021,PA,PA,PA,Northeast,Northeast,Northeast,,  279 ,  31 ,330,20,Interstate,FERC,PF17-10,No,All flows linked to Leidy South Expansion and designed to increase takeaway capacity out Appalachia to Southern markets,,
11/13/2018,Fox Energy Center Natural Gas Lateral Project,Wisconsin Public Service Corp,Lateral,Completed,10/31/2018,2018,WI,WI,WI,Midwest,Midwest,Midwest,,  27 ,  5 ,,20,Intrastate,PSC (WI),,No,"Serves Fox Energy Center power plant; 20 in. pipe with MAOP of 1,000 psi.  Designed to give supply flexibility to plant, which is currently served only by ANR at volumes of 25.6 MMcf/d",,
7/16/2012,Franklin to Hastings Expansion,Kinder Morgan Interstate Gas Transmission,Expansion,Completed,4/1/2011,2011,NE,NE,NE,Mountain,Mountain,Mountain,,,  11 ,,20,Interstate,FERC,CP10-472,,,,
6/26/2009,Freebird Gas Storage Line,Freebird Gas Storage LLC,Lateral,Completed,6/1/2006,2006,AL,AL,AL,South Central,South Central,South Central,,  8 ,4.3,250,  16 , Interstate ,FERC,CP05-29,,,,
6/26/2009,Freeport LNG Pipeline,Freeport LNG Development LP,Expansion,Completed,4/1/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  18 ,  10 ,"  1,750 ",42,Interstate,FERC,CP03-75,,,,
6/26/2009,Front Range Expansion,Public Service Co of CO,Expansion,Completed,11/15/1998,1998,CO,CO,CO,Mountain,Mountain,Mountain,,  25 ,  53 ,  269 ,24,Interstate,FERC,CP98-49,,,,
1/24/2018,Gaines County Crossover Compressor Station,Northern Natural Gas Co,Expansion,Completed,6/1/2017,2017,TX,TX,TX,South Central,South Central,South Central,,  41 ,,  210 ,,Interstate,FERC,CP15-552,No,,,
4/9/2021,Galveston County Project,Florida Gas Trans Co,Lateral,Completed,2/1/2021,2021,TX,TX,TX,South Central,South Central,South Central,,  19 ,  3 ,107,"12,20",Intrastate,FERC,CP20-505,No,"Install two pipeline segments on the FGT Mainline that connect to a natural gas power plant in Galveston, Texas",Electric,
11/29/2017,Garden State Expansion Phase 1,Transcontinental Gas PipeLine,Expansion,Completed,9/9/2017,2017,NJ,NJ,NJ,Northeast,Northeast,Northeast,,  27 ,,20,, Interstate ,FERC,CP15-89,No,,,
3/23/2018,Garden State Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Completed,3/16/2018,2018,NJ,NJ,NJ,Northeast,Northeast,Northeast,,  116 ,,  120 ,,Interstate,FERC,CP15-89,No,,,
11/25/2019,Gateway Expansion Project,Transcontinental Gas Pipeline,Expansion,Completed,11/22/2019,2020,NJ,NJ,NJ,Northeast,Northeast,Northeast,,  85 ,,65,,Interstate,FERC,CP18-18,No,"Replacement of valves, compressors, and associated equiptment to improve deliverability",,
6/17/2022,Gemini Gulf Coast Pipeline,"Trace Midstream, Quantum Midstream",New Pipeline,Cancelled,,na,TX,TX,TX,South Central,South Central,South Central,,,150.00,"1,500",  36 , Intrastate ,TX RRC,,No,"Deliverability from Arklatex area in Haynesville to Orange County, TX; Phase 1 completed in May 2020, Phase 2 later",,https://tracemidstream.com/operations/#east-texas
11/6/2014,Giles County Project,Columbia Gas Transmission,Expansion,Completed,9/24/2014,2014,VA,VA,VA,Northeast,Northeast,Northeast,,,  13 ,  46 ,8,Interstate,FERC,CP13-125,,,,
7/29/2010,Gill Ranch Storage Lateral,Gill Ranch Storage LLC,Lateral,Completed,11/1/2010,2010,CA,CA,CA,Pacific,Pacific,Pacific,,  45 ,  27 ,  200 ,30,Intrastate,State,na,,,,
3/9/2022,Gillis Lateral,Enterprise Products Partners,Lateral,Completed,12/1/2021,2021,LA,LA,LA,South Central,South Central,South Central,,,  80 ,  300 ,,Intrastate,State,,No,Boosts capacity on Acadia System by 1.8 Bcf/d to 2.1 Bcf/d and deliveries gas to Creole Trail and Cameron pipelines,,
6/26/2009,GLT Security Loop Project Phase I,Great Lakes Gas Trans LTD,Expansion,Completed,11/1/1996,1996,MI,MI,MI,Midwest,Midwest,Midwest,,  17 ,  14 ,  5 ,36,Interstate,FERC,CP95-375,,,,
6/26/2009,GLT Security Loop Project Phase II,Great Lakes Gas Trans LTD,Expansion,Completed,11/1/1998,1998,MI,MI,MI,Midwest,Midwest,Midwest,,  33 ,  25 ,,36,Interstate,FERC,CP96-297,,,,
6/26/2009,GLT Security Loop Project Phase III,Great Lakes Gas Trans LTD,Expansion,Completed,10/18/2000,2000,MI,MI,MI,Midwest,Midwest,Midwest,,  11 ,  14 ,,12,Interstate,FERC,CP98-143,,,,
